;;;SON GÜNCEL TARİH:;08,01,2024;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;PALET NO;MARKA;TİP;RENK;RENK KODU ;PARTİ NO;SERİ  NO;TIP;TOP SAYISI;EN (m);"TOP
 UZUNLUĞU 
(m)";"TOPLAM
UZUNLUK";ALAN (m2);PROJE;DURUM;NOTE;SAHİBİ;BEDEL;TUTAR
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;VERSEİDAG;F 900 (TX) PVC;KREM;B4616(34);40999 95;51899136A01;2;1;2,50;300;300;750,0;Antalya Tır Parkı;STOK;;AG;;
;;VERSEİDAG;F 900 (TX) PVC;KREM;B4616(34);40999 95;51899136C04;2;1;2,50;220;220;550,0;Antalya Tır Parkı;STOK;;AG;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;MEHLER;VALMEX TF 400 F1 (7280);GRİ;717717;76143;612701014;;1;3,00;100;100;300,0;SMC Mantes La Jolia;STOK;;SMC;;
;;MEHLER;VALMEX TF 400 F1 (7280);GRİ;717717;76143;612701010;;1;3,00;21;21;63,0;SMC Mantes La Jolia;STOK;;SMC;;
;;MEHLER;VALMEX FR 900 MEHATOP N;BEYAZ;919008;75754;6120690206;2;1;2,50;66;66;165,0;SMC SEICHES;STOK;;SMC;;
;;Ferrari;Flexlıght 702;Beyaz;8604S2;112711;200001026169;1;1;2,67;50;50;134,0;SMC ;STOK;;SMC;;
;;FERRARİ;FLEXLIGHT 942 (GRIS);GRİ;1071;;300002471575;1;1;2,70;50;50;135,0;SMC ;STOK;;SMC;;
;;FERRARİ;FLEXLIGHT 942 (GRIS);GRİ;1071;;300002471577;1;1;2,70;50;50;135,0;SMC ;STOK;;SMC;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
